run,num_images_per_batch,loss,rim/acc_mean,rim/acc_std,rim/acc_max,fold0-rim/acc_final,fold0-rim/acc_max,fold1-rim/acc_final,fold1-rim/acc_max,fold2-rim/acc_final,fold2-rim/acc_max,fold3-rim/acc_final,fold3-rim/acc_max,fold4-rim/acc_final,fold4-rim/acc_max,lesion/acc_mean,lesion/acc_std,lesion/acc_max,fold0-lesion/acc_final,fold0-lesion/acc_max,fold1-lesion/acc_final,fold1-lesion/acc_max,fold2-lesion/acc_final,fold2-lesion/acc_max,fold3-lesion/acc_final,fold3-lesion/acc_max,fold4-lesion/acc_final,fold4-lesion/acc_max,train/loss_mean,train/loss_std,train/loss_min,val/acc_mean,val/acc_std,val/acc_max
run1,1,bg-nowt,0.3195,0.1325,0.5819,0.3376,0.5024,0.5216,0.5819,0.2052,0.3874,0.4149,0.4523,0.2195,0.3582,0.6505,0.0432,0.7077,0.6685,0.6699,0.6976,0.7077,0.6747,0.6782,0.6934,0.6997,0.6665,0.6706,0.6147,0.059,0.5593,0.485,0.0815,0.6378
run2,1,nobg-nowt,0.3256,0.1291,0.5873,0.3153,0.4529,0.5345,0.5873,0.2049,0.3615,0.417,0.4605,0.2602,0.3636,0.6467,0.0424,0.7075,0.6582,0.6669,0.7031,0.7075,0.6553,0.6701,0.6835,0.694,0.6643,0.6714,0.9117,0.0816,0.8349,0.4861,0.0806,0.6395
run3,1,bg-wt115,0.416,0.1041,0.6273,0.3612,0.5751,0.5812,0.6273,0.3171,0.498,0.4041,0.5032,0.3042,0.4076,0.6372,0.0428,0.6986,0.6622,0.668,0.694,0.6986,0.6463,0.6571,0.6741,0.6825,0.6484,0.6557,2.5615,0.0706,2.4939,0.5266,0.0652,0.6582
run4,1,nobg-wt115,0.4223,0.1055,0.6393,0.3708,0.572,0.6075,0.6393,0.3415,0.5003,0.409,0.4889,0.2969,0.3878,0.6373,0.0451,0.7083,0.6482,0.6551,0.7035,0.7083,0.6515,0.6653,0.6759,0.6827,0.6511,0.6583,3.8278,0.098,3.7322,0.5298,0.0671,0.6675
run5,2,bg-nowt,0.3146,0.1297,0.5823,0.3492,0.504,0.4821,0.5823,0.1928,0.3966,0.401,0.4273,0.2023,0.3556,0.6492,0.0434,0.7098,0.6656,0.6742,0.7042,0.7098,0.6714,0.6765,0.6856,0.6894,0.6589,0.6714,0.6154,0.0586,0.5617,0.4819,0.0807,0.6369
run6,2,nobg-nowt,0.3287,0.1293,0.5917,0.3656,0.5035,0.5332,0.5917,0.2114,0.3865,0.4126,0.4278,0.2398,0.3353,0.6482,0.0441,0.7094,0.6587,0.674,0.7079,0.7094,0.6741,0.6849,0.6814,0.6957,0.6562,0.6715,0.9116,0.0822,0.8339,0.4884,0.0809,0.6471
run7,2,bg-wt115,0.4206,0.1076,0.6322,0.4425,0.5317,0.5865,0.6322,0.3019,0.4993,0.4264,0.4937,0.3203,0.3926,0.6412,0.0449,0.7004,0.6485,0.663,0.6938,0.7004,0.6699,0.6746,0.6843,0.6864,0.6633,0.666,2.5619,0.0706,2.4936,0.5309,0.067,0.6581
run8,2,nobg-wt115,0.427,0.0981,0.6294,0.3927,0.5485,0.5868,0.6294,0.3038,0.4866,0.4248,0.5028,0.355,0.404,0.6395,0.0452,0.7025,0.6566,0.6718,0.6972,0.7025,0.6609,0.674,0.6739,0.6796,0.655,0.6606,3.8285,0.0976,3.7311,0.5332,0.0632,0.6605
run9,4,bg-nowt,0.3123,0.1251,0.588,0.3384,0.4508,0.4887,0.588,0.2194,0.4209,0.3831,0.4459,0.2436,0.3234,0.6475,0.0438,0.7123,0.6614,0.6698,0.7098,0.7123,0.6704,0.6802,0.6892,0.6923,0.6408,0.6565,0.6151,0.0587,0.5597,0.4799,0.0796,0.6376
run10,4,nobg-nowt,0.3172,0.1258,0.5807,0.3393,0.4722,0.5091,0.5807,0.214,0.4203,0.4063,0.4515,0.2251,0.3244,0.6465,0.0428,0.7128,0.6603,0.6718,0.7056,0.7128,0.6608,0.6687,0.6913,0.6942,0.6531,0.6608,0.9116,0.0818,0.8353,0.4818,0.0799,0.6424
run11,4,bg-wt115,0.4213,0.1109,0.6396,0.4051,0.5589,0.6127,0.6396,0.2982,0.4933,0.4305,0.4946,0.2853,0.4051,0.6419,0.0459,0.703,0.654,0.6571,0.696,0.703,0.6671,0.6827,0.6829,0.6841,0.6586,0.6668,2.5613,0.0709,2.4941,0.5316,0.069,0.6643
run12,4,nobg-wt115,0.4265,0.1043,0.6241,0.4229,0.5632,0.5925,0.6241,0.3168,0.5078,0.422,0.4987,0.3093,0.398,0.6391,0.0446,0.6973,0.6515,0.6652,0.6859,0.6965,0.6536,0.6627,0.6928,0.6973,0.6543,0.6632,3.8282,0.098,3.7318,0.5328,0.0659,0.657
